trial_id,stimulus,condition,is_word,syllable_length,frequency_group,frequency,log_frequency,presentations,accuracy,valid_rt_n,correct_valid_rt_n,mean_rt_correct,median_rt_correct,missing_rt_count,flag
LDT3X4_080,loại thực phẩm,word,1,3,mid,13,2.564949357,48,0.9791666666666666,48,47,0.7195804042553191,0.698997,0,
LDT3X4_081,nghiên cứu khoa học,word,1,4,low,3,1.098612289,48,0.9791666666666666,48,47,0.8708442765957447,0.866964,0,
LDT3X4_082,công nghiệp,word,1,2,high,27,3.295836866,48,0.9375,48,45,0.45384633333333335,0.444983,0,
LDT3X4_083,giá,word,1,1,high,714,6.570882962,48,0.9791666666666666,48,47,0.3728133829787234,0.338408,0,
LDT3X4_084,hơi nướm,pseudoword,0,2,control,NA,NA,48,0.7916666666666666,46,38,0.8737412368421053,0.8400415,2,
LDT3X4_085,nước cốt dừa,word,1,3,mid,18,2.890371758,48,0.9583333333333334,47,46,0.7257552608695652,0.7052805,1,
LDT3X4_086,thị trường nội địa,word,1,4,mid,5,1.609437912,48,0.9791666666666666,48,47,0.7686934042553192,0.777351,0,
LDT3X4_087,cuộc hôn nhâc,pseudoword,0,3,control,NA,NA,48,0.9166666666666666,48,44,1.010104409090909,0.9651215,0,
LDT3X4_088,máy xay,word,1,2,mid,18,2.890371758,48,0.9791666666666666,48,47,0.5046727446808511,0.49092,0,
LDT3X4_089,lâ,pseudoword,0,1,control,NA,NA,48,0.7916666666666666,47,38,0.7426942368421052,0.7062755000000001,1,
LDT3X4_090,văn hóa,word,1,2,high,28,3.33220451,48,0.8958333333333334,48,43,0.4770557441860465,0.499559,0,
LDT3X4_091,mẹ chồng nàng hâu,pseudoword,0,4,control,NA,NA,48,0.75,48,36,1.1449392222222223,1.095765,0,
LDT3X4_092,gió,word,1,1,mid,118,4.770684624,48,0.9791666666666666,48,47,0.47696289361702127,0.436805,0,
LDT3X4_093,máy vi tính,word,1,3,mid,13,2.564949357,48,0.9166666666666666,47,44,0.6888452727272727,0.676504,1,
LDT3X4_094,mái ấm gia đình,word,1,4,high,16,2.772588722239781,48,0.9166666666666666,48,44,0.6225090227272727,0.6481175,0,
LDT3X4_095,cây,word,1,1,mid,281,5.638354669,48,0.9791666666666666,48,47,0.4454297234042553,0.441523,0,
LDT3X4_096,nồi ạp suất,pseudoword,0,3,control,NA,NA,48,0.8333333333333334,48,40,1.023724175,0.9903109999999999,0,
LDT3X4_097,côm ty,pseudoword,0,2,control,NA,NA,48,0.875,48,42,0.828612380952381,0.823508,0,
LDT3X4_098,sọng,pseudoword,0,1,control,NA,NA,48,0.6666666666666666,46,32,0.69115196875,0.667987,2,
LDT3X4_099,nước muối,word,1,2,low,11,2.397895273,48,1.0,48,48,0.5819537083333334,0.5765214999999999,0,
LDT3X4_100,luật pháp,word,1,2,mid,26,3.258096538,48,0.9375,47,45,0.5852894444444444,0.557062,1,
LDT3X4_101,nhà thiết kế,word,1,3,low,9,2.197224577,48,0.9791666666666666,48,47,0.6896010212765957,0.699163,0,
LDT3X4_102,chủ cửa hàng,word,1,3,low,6,1.791759469,48,0.9583333333333334,47,46,0.8433547826086957,0.823905,1,
LDT3X4_103,tiền,word,1,1,high,317,5.758901774,48,0.9791666666666666,48,47,0.37289338297872343,0.339003,0,
LDT3X4_104,văn hóa ẩm thực,word,1,4,low,3,1.098612289,48,0.9375,48,45,0.7961606444444445,0.784214,0,
LDT3X4_105,học thủc,pseudoword,0,2,control,NA,NA,48,0.8958333333333334,48,43,0.810936,0.808904,0,
LDT3X4_106,mũ,word,1,1,low,47,3.850147602,48,0.875,46,42,0.497388,0.5044255,2,
LDT3X4_107,kiến trúc sủ,pseudoword,0,3,control,NA,NA,48,0.8333333333333334,45,40,1.0103091,1.0034985,3,
LDT3X4_108,tin,word,1,1,high,679,6.520621128,48,0.9791666666666666,48,47,0.41262040425531915,0.386976,0,
LDT3X4_109,giá thàc,pseudoword,0,2,control,NA,NA,48,0.8958333333333334,47,43,0.8805430465116278,0.847201,1,
LDT3X4_110,nhà thiết ké,pseudoword,0,3,control,NA,NA,48,0.7916666666666666,48,38,1.018574052631579,0.99266,0,
LDT3X4_111,chủ cửa hàc,pseudoword,0,3,control,NA,NA,48,0.8333333333333334,46,40,0.94425245,0.890552,2,
LDT3X4_112,chuyên viên tư vấn,word,1,4,high,7,1.9459101490553128,48,1.0,48,48,0.6971640208333333,0.6453184999999999,0,
LDT3X4_113,máy pha cà phé,pseudoword,0,4,control,NA,NA,48,0.7291666666666666,47,35,1.1581004571428573,1.095826,1,
LDT3X4_114,mối quan hệ,word,1,3,high,171,5.14166355650266,48,0.9166666666666666,48,44,0.5441744318181818,0.5281955,0,
LDT3X4_115,biệc pháp,pseudoword,0,2,control,NA,NA,48,0.8541666666666666,47,41,0.8703949268292683,0.858132,1,
LDT3X4_116,hạnh phúc gia đình,word,1,4,high,44,3.784189633918261,48,0.9375,48,45,0.6413826222222222,0.620097,0,
LDT3X4_117,cơ sở sản xuất,word,1,4,low,3,1.098612289,48,0.9166666666666666,48,44,0.8283771136363636,0.874135,0,
LDT3X4_118,giám đóc công ty,pseudoword,0,4,control,NA,NA,48,0.8541666666666666,48,41,1.0719683414634147,1.063348,0,
LDT3X4_119,nước,word,1,1,high,1464,7.288927695,48,1.0,48,48,0.37705125,0.3408195,0,
LDT3X4_120,xe đẩy,word,1,2,mid,14,2.63905733,48,0.9791666666666666,48,47,0.5497845957446809,0.539128,0,
