lexical_item,frequency,log_frequency,syllable_length,source_file,keep_status,filter_reason,warning_flag
thua,30,3.4011973816621555,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
rung,28,3.332204510175204,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
xoong,28,3.332204510175204,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
khoanh,28,3.332204510175204,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
ngoan,27,3.295836866004329,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
khinh,27,3.295836866004329,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
cong,27,3.295836866004329,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
khao,24,3.1780538303479458,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
kmode,24,3.1780538303479458,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
chao,23,3.1354942159291497,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
rong,22,3.091042453358316,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
nhai,22,3.091042453358316,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
salon,22,3.091042453358316,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
thoa,22,3.091042453358316,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
cotton,22,3.091042453358316,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
xoay,22,3.091042453358316,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
cocktail,22,3.091042453358316,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
lung,22,3.091042453358316,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
break,21,3.044522437723423,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
baby,21,3.044522437723423,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
case,21,3.044522437723423,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
khoan,20,2.995732273553991,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
thun,20,2.995732273553991,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
model,19,2.9444389791664403,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
vang,19,2.9444389791664403,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
dinh,19,2.9444389791664403,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
chan,19,2.9444389791664403,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
chim,19,2.9444389791664403,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
vung,19,2.9444389791664403,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
phun,19,2.9444389791664403,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
trinh,18,2.8903717578961645,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
tanh,18,2.8903717578961645,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
hong,18,2.8903717578961645,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
chinh,18,2.8903717578961645,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
canada,17,2.833213344056216,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
violet,16,2.772588722239781,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
salad,16,2.772588722239781,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
khoe,16,2.772588722239781,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
email,16,2.772588722239781,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
huynh,16,2.772588722239781,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
quai,15,2.70805020110221,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
vitamin,15,2.70805020110221,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
return,15,2.70805020110221,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
manh,14,2.6390573296152584,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
vinh,14,2.6390573296152584,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
nung,14,2.6390573296152584,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
shop,14,2.6390573296152584,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
khuya,14,2.6390573296152584,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
dang,14,2.6390573296152584,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
basa,13,2.5649493574615367,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
toan,13,2.5649493574615367,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
chen,13,2.5649493574615367,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
hang,13,2.5649493574615367,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
australia,13,2.5649493574615367,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
kong,13,2.5649493574615367,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
alert,12,2.4849066497880004,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
stress,12,2.4849066497880004,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
menu,12,2.4849066497880004,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
chui,12,2.4849066497880004,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
singapore,11,2.3978952727983707,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
araban,11,2.3978952727983707,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
thau,11,2.3978952727983707,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
hanh,11,2.3978952727983707,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
mini,11,2.3978952727983707,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
grammy,11,2.3978952727983707,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
chocolate,11,2.3978952727983707,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
gang,10,2.302585092994046,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
oliu,10,2.302585092994046,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
